update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,738.3225400757908,2,0.22922793907277725,0.35299758509682533,0.0,0.957812488079071,50.0,22.0080199285731,3.0,64.0,1.9215695708990097,-0.05706352833658457,-0.08893028646707535,0.02058026660233736,0.061295452672940745,0.22922793907277725,0.35299758509682533,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,1733.7886683230968,3,0.13496621557184169,0.24783941317703886,0.0,0.7749999761581421,56.32432432432432,14.865257980059837,16.0,64.0,1.9323291182518005,-0.01835938057047315,-0.0625455854460597,0.011022136954125017,0.04331157042510481,0.13496621557184169,0.24783941317703886,0.0,0.7749999761581421
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,1617.6349905963657,5,0.18707770149450045,0.32675078957965387,0.0,0.957812488079071,52.810810810810814,20.4329329268031,3.0,64.0,1.9276678711175919,0.019567578216083348,-0.039015867514535785,0.012990991293918341,0.03885893397282669,0.18707770149450045,0.32675078957965387,0.0,0.957812488079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,1449.7630643802654,6,0.14860641996602755,0.2829065769708148,0.0,0.8453124761581421,55.16216216216216,17.329109260359786,11.0,64.0,1.9127052128314972,0.03929354716092348,-0.031289455480873585,0.011240626219660044,0.04727639994297814,0.14860641996602755,0.2829065769708148,0.0,0.8453124761581421
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,1495.919989439665,8,0.23040865533626997,0.2976556159701322,0.0,0.901562511920929,50.8974358974359,18.30621986465448,7.0,64.0,1.9039373993873596,0.06647783843800426,-0.03422515164129436,0.013543388107791543,0.05884978579748885,0.23040865533626997,0.2976556159701322,0.0,0.901562511920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,1425.4429721392644,9,0.23757621863993203,0.34131289261665987,0.0,0.9296875,49.707317073170735,21.176659842151604,5.0,64.0,1.8951321989297867,0.09907837584614754,-0.02061893287464045,0.016038040455896407,0.062245935107131584,0.23757621863993203,0.34131289261665987,0.0,0.9296875
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,1483.2703601128123,10,0.23582031298428774,0.344239067407342,0.0,0.9437500238418579,50.075,21.63953268903929,4.0,64.0,1.8874588161706924,0.11037486419081688,0.0042777306225616485,0.013887676876038313,0.07008335380291925,0.23582031298428774,0.344239067407342,0.0,0.9437500238418579
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,1524.5515170113026,12,0.24189680346915887,0.3701054226474211,0.0,0.9859374761581421,49.27906976744186,23.342072586277325,1.0,64.0,1.8725450336933136,0.11342361848801374,0.006523843621835113,0.014782642479985952,0.0661611129233367,0.24189680346915887,0.3701054226474211,0.0,0.9859374761581421
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,1441.2871668256457,13,0.257180059949557,0.31059745688030715,0.0,0.9437500238418579,48.92857142857143,18.91886543606025,4.0,64.0,1.8511798232793808,0.11952400580048561,-0.017005973146297038,0.01466403715312481,0.05434165553086557,0.257180059949557,0.31059745688030715,0.0,0.9437500238418579
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,1446.9502708546454,15,0.3258333346909947,0.343874915128068,0.0,0.971875011920929,44.62222222222222,21.372140628905857,2.0,64.0,1.8337954878807068,0.16845721937716007,-0.01649855263531208,0.017617494566366076,0.08472753126505317,0.3258333346909947,0.343874915128068,0.0,0.971875011920929
11,22528,1546.7457665390066,16,0.3280598946536581,0.3537038289542443,0.0,0.9859374761581421,44.375,22.051667548434217,1.0,64.0,1.8204299956560135,0.16509227827191353,-0.025522159528918564,0.02115817356389016,0.10958467528062606,0.3280598946536581,0.3537038289542443,0.0,0.9859374761581421
