Episode,Reward_Decaying,Reward_Constant
1,-2.5599999999999894,-1.4228125000000014
2,-2.5599999999999894,-2.125624999999995
3,-2.2067187499999936,-2.5599999999999894
4,-2.5599999999999894,-2.5599999999999894
5,-2.5599999999999894,-2.5599999999999894
6,-2.5599999999999894,-0.6253906250000009
7,-2.5599999999999894,-2.5599999999999894
8,-2.5599999999999894,-1.017343750000001
9,-2.5599999999999894,-2.5599999999999894
10,-2.5599999999999894,-2.5599999999999894
11,-2.5599999999999894,-1.6390625000000014
12,-2.5599999999999894,-1.5039062500000013
13,-2.5599999999999894,-2.5599999999999894
14,-2.5599999999999894,-1.1525000000000012
15,-2.5599999999999894,-2.5599999999999894
16,-2.5599999999999894,-0.6389062500000009
17,-2.5599999999999894,-2.031015624999996
18,-2.5599999999999894,-2.5599999999999894
19,-1.1930468750000012,-0.9227343750000011
20,-2.5599999999999894,-2.5599999999999894
21,-1.0308593750000012,-0.5442968750000008
22,-1.4228125000000014,-1.909374999999998
23,-2.2742968749999926,-2.5599999999999894
24,-0.895703125000001,-0.936250000000001
25,-2.5599999999999894,-1.6796093750000014
26,-2.5599999999999894,-2.5599999999999894
27,-2.5599999999999894,0.5099218749999999
28,-2.5599999999999894,0.13148437499999965
29,-2.5599999999999894,-1.0714062500000012
30,-0.05773437500000056,-1.003828125000001
31,-1.1254687500000014,0.05039062499999958
32,-2.5599999999999894,-0.4496875000000007
33,-2.5599999999999894,-2.5599999999999894
34,-0.936250000000001,-2.368906249999991
35,-2.5599999999999894,-0.4496875000000007
36,-2.42296874999999,0.05039062499999958
37,-2.5599999999999894,-1.2471093750000013
38,-2.5599999999999894,-1.7607031250000005
39,-0.936250000000001,0.07742187499999964
40,-2.5599999999999894,-2.5599999999999894
41,-2.5599999999999894,-2.355390624999991
42,-2.5599999999999894,-0.5172656250000007
43,-2.5599999999999894,-2.125624999999995
44,-0.5848437500000008,-0.4496875000000007
45,-0.2604687500000007,0.34773437499999976
46,-1.3417187500000014,-2.5599999999999894
47,-1.6390625000000014,0.4153124999999998
48,-0.828125000000001,-0.34156250000000066
49,-1.6796093750000014,0.07742187499999964
50,-0.017187500000000466,-2.2878124999999923
51,-0.04421875000000042,-0.5442968750000008
52,-2.5599999999999894,0.5099218749999999
53,-2.43648437499999,-0.43617187500000076
54,-1.098437500000001,-0.2199218750000006
55,0.14499999999999968,-0.08476562500000051
56,-0.3550781250000007,-1.098437500000001
57,0.5099218749999999,-0.814609375000001
58,-1.6525781250000016,-0.3685937500000007
59,0.699140625,0.2531249999999997
60,-0.6253906250000009,-2.3824218749999906
61,-2.5599999999999894,0.34773437499999976
62,0.17203124999999964,0.5369531249999999
63,-0.43617187500000076,0.11796874999999962
64,-0.3145312500000006,-0.3550781250000007
65,-2.5599999999999894,-0.665937500000001
66,-0.665937500000001,0.23960937499999968
67,-1.017343750000001,-0.20640625000000057
68,-0.2199218750000006,0.03687499999999955
69,-0.43617187500000076,0.3747656249999997
70,-0.4902343750000008,0.03687499999999955
71,0.5234374999999998,0.09093749999999967
72,-0.003671875000000435,0.44234374999999976
73,-2.5599999999999894,-0.47671875000000075
74,0.5099218749999999,0.6856249999999999
75,0.4693749999999998,-0.08476562500000051
76,-2.5599999999999894,-0.3145312500000006
77,-2.2742968749999926,-0.1793750000000005
78,-0.20640625000000057,0.42882812499999984
79,-2.2878124999999923,-0.07125000000000048
80,0.26664062499999974,-0.2604687500000007
81,0.32070312499999976,-0.5037500000000008
82,-0.841640625000001,0.4693749999999998
83,-0.9767968750000011,-0.9227343750000011
84,-0.13882812500000052,-0.32804687500000074
85,-1.4228125000000014,0.645078125
86,0.26664062499999974,0.3747656249999997
87,-0.34156250000000066,0.5099218749999999
88,0.26664062499999974,-0.1253125000000006
89,-0.841640625000001,0.79375
90,0.21257812499999973,0.10445312499999959
91,-0.9903125000000012,-0.003671875000000435
92,-1.5985156250000014,0.7396874999999999
93,0.4017968749999998,-0.801093750000001
94,0.23960937499999968,0.5369531249999999
95,-0.9497656250000011,0.4558593749999998
96,0.10445312499999959,-0.34156250000000066
97,0.4558593749999998,0.10445312499999959
98,0.05039062499999958,0.4964062499999999
99,0.563984375,-0.04421875000000042
100,-0.09828125000000054,-0.20640625000000057
101,-0.5442968750000008,0.5099218749999999
102,-1.733671875000001,0.17203124999999964
103,-0.19289062500000065,0.4153124999999998
104,0.7126562499999999,0.645078125
105,0.33421874999999973,0.17203124999999964
106,-0.801093750000001,0.3612499999999998
107,0.2801562499999998,0.6180468749999999
