update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
15,30720,1684.4065886486994,19,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.945059210062027,-0.001334293861873448,-0.0008275802319985814,1.0371831535849196e-05,0.0009575478804145674,0.0,0.0,0.0,0.0
16,32768,1677.5171525970272,20,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9452514797449112,-0.0011441075766924769,-0.00015967839954100782,7.821023302767571e-06,0.0011204982150207368,0.0,0.0,0.0,0.0
17,34816,1696.280967878829,21,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9455149620771408,-0.0010143132749362849,-0.0002305608977621887,9.315935812992393e-06,0.0008092019865710144,0.0,0.0,0.0,0.0
18,36864,1716.813647952989,22,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.945614516735077,-0.0001692369833108387,-0.0001021721418510424,4.904962963792059e-06,0.0005599550887123554,0.0,0.0,0.0,0.0
19,38912,1704.3821988126379,23,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9454872012138367,-0.0005209392566030147,-1.9547064766811673e-06,5.5142366477412e-06,0.0007102918302114493,0.0,0.0,0.0,0.0
20,40960,1787.8634145204337,24,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9455471634864807,-0.00019272366580480593,-0.00015453224159500678,5.335262869721191e-06,0.000620274124743588,0.0,0.0,0.0,0.0
21,43008,1575.5297262904355,26,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9455426186323166,-4.037370308651589e-05,-0.00010604165527183795,5.0138759775109065e-06,0.0005394569508291794,0.0,0.0,0.0,0.0
22,45056,1554.9548755537871,27,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9455635696649551,-0.00014021330116520403,6.311944844128448e-05,3.90824607165996e-06,0.00044694625285203427,0.0,0.0,0.0,0.0
23,47104,1467.4801349681995,29,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9456995874643326,-2.1098696834087605e-05,-1.138919196819188e-05,2.879063316640895e-06,0.00032989563130245505,0.0,0.0,0.0,0.0
24,49152,1578.0516135195412,30,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9456873089075089,-6.07904094067635e-05,2.7063814286520937e-05,2.9039317723800195e-06,0.0003449866939504924,0.0,0.0,0.0,0.0
25,51200,1825.1731307821935,31,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9456865936517715,6.368381264110212e-05,-3.24504735544906e-05,2.7883457107691356e-06,0.0003569228929398416,0.0,0.0,0.0,0.0
26,53248,1837.2529270613588,32,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9456652849912643,0.00013117318940203404,6.063375678877492e-05,2.479250895248697e-06,0.0003809791123954874,0.0,0.0,0.0,0.0
27,55296,1618.598801323304,33,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9457081407308578,0.00022391749189409893,-1.1756552339647897e-05,2.1812508350649296e-06,0.0002739119537666676,0.0,0.0,0.0,0.0
28,57344,1606.3038259867903,35,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9457358568906784,0.00021504184496734524,0.00010421071874588961,1.4132377543774055e-06,0.00023315921487439856,0.0,0.0,0.0,0.0
29,59392,1568.659620732104,36,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9457655549049377,8.51080117172387e-05,4.01683573727496e-05,1.4321255861204918e-06,0.00019999354518070243,0.0,0.0,0.0,0.0
30,61440,1718.7345679370526,37,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9457795321941376,0.00021745381854998413,-3.204533913958585e-05,1.353886787569536e-06,0.00021967489960034118,0.0,0.0,0.0,0.0
31,63488,1669.1453875565526,38,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9457835108041763,0.000149247687204479,7.913450167507108e-05,1.3432012195835341e-06,0.0003787484262181242,0.0,0.0,0.0,0.0
32,65536,1716.9111019035472,40,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9457993656396866,0.00010527817630645586,4.28741777795949e-05,1.2250447127826192e-06,0.00024158656440833524,0.0,0.0,0.0,0.0
33,67584,1666.1616274430353,41,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.945807233452797,-0.00013340895475266734,2.0591484371834667e-05,1.1958402410527924e-06,0.0002853034618081247,0.0,0.0,0.0,0.0
34,69632,1787.668074752149,42,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9457868188619614,-1.603774296654592e-05,0.00010250818604617962,7.969750228653538e-07,0.00016142207456693557,0.0,0.0,0.0,0.0
35,71680,1935.558391892495,43,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9458195269107819,-0.00010900329561991384,-2.996027569679427e-05,1.0120947848690776e-06,0.000156613360589092,0.0,0.0,0.0,0.0
36,73728,1622.5375759141814,44,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9458346366882324,-4.712560701136681e-05,-4.4396342445907067e-05,6.23601017935016e-07,0.00015429230605266622,0.0,0.0,0.0,0.0
37,75776,1906.4535813857692,45,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9458310902118683,-2.3046776732371654e-05,-2.010173864164244e-05,5.347267943989209e-07,0.00011321225997645356,0.0,0.0,0.0,0.0
38,77824,1815.9417202997192,46,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9458414614200592,-3.7904741475358605e-05,-5.413167968981725e-05,4.89106881218504e-07,0.00012007216958914645,0.0,0.0,0.0,0.0
39,79872,1666.3099802446682,48,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9458350390195847,-5.369121595322213e-05,-3.826774593562732e-05,5.441661912186646e-07,0.00014542858283492075,0.0,0.0,0.0,0.0
40,81920,1513.5059128492344,49,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.945852056145668,0.00011680124816848547,4.7100327492444194e-05,3.389248632856834e-07,0.00013711881396922466,0.0,0.0,0.0,0.0
