update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,771.1561516016559,2,0.0,0.0,0.0,0.0,12.5625,34.01831997247953,0.0,121.0,1.9270069152116776,-0.10707902815192938,-0.019454095396213233,0.0008836623601382598,0.03290708844852555,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,1766.007850673956,3,0.0,0.0,0.0,0.0,12.5625,34.01831997247953,0.0,121.0,1.9291151314973831,-0.07522247079759836,-0.01278766943141818,0.00012220267399243312,0.008159964568850396,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,1750.9574471294475,4,0.0,0.0,0.0,0.0,21.9375,47.32925727021289,0.0,150.0,1.9374962151050568,-0.06454658135771751,-0.01236306270584464,6.270326275625848e-05,0.004918096433985669,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,1634.716425352266,6,0.02445312589406967,0.09470654935044519,0.0,0.39125001430511475,53.25,121.33038572426942,0.0,487.0,1.9364896565675735,-0.04986007837578654,-0.013860776787623763,0.0008261112634500023,0.0073838408484054865,0.02445312589406967,0.09470654935044519,0.0,0.39125001430511475
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,1775.3803490974117,7,0.06109375040978193,0.1306645246885217,0.0,0.39125001430511475,198.0625,250.37783167395233,0.0,623.0,1.9381689429283142,-0.04243954923003912,-0.01224141102284193,0.0005212391097302316,0.006336716865166065,0.06109375040978193,0.1306645246885217,0.0,0.39125001430511475
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,1620.3311785971296,8,0.0803906237706542,0.18815080404301848,0.0,0.699999988079071,565.5,240.03254987605328,7.0,720.0,1.9317628592252731,-0.027021302143111825,-0.015043473918922246,0.002131223584001418,0.012927588116550249,0.0803906237706542,0.18815080404301848,0.0,0.699999988079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,1690.567935173016,9,0.08289062604308128,0.21969515633486175,0.0,0.699999988079071,466.4375,296.6454046395292,7.0,720.0,1.9344778060913086,-0.013466752599924803,-0.009985057869926095,0.0013910482521168888,0.013240282236048565,0.08289062604308128,0.21969515633486175,0.0,0.699999988079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,1566.8375472585697,11,0.08289062604308128,0.21969515633486175,0.0,0.699999988079071,386.3125,303.9265369192858,7.0,720.0,1.941353440284729,-0.021879264619201422,-0.0036591520765796304,6.259932388275047e-05,0.003726063776222313,0.08289062604308128,0.21969515633486175,0.0,0.699999988079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,1707.7452287143542,12,0.08289062604308128,0.21969515633486175,0.0,0.699999988079071,297.8125,270.0773543704655,5.0,720.0,1.9392266273498535,-0.017263815621845424,-0.0034937718883156776,3.981745089731703e-05,0.0034511345782174694,0.08289062604308128,0.21969515633486175,0.0,0.699999988079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,1583.3989570869808,13,0.03914062678813934,0.15159099571058357,0.0,0.6262500286102295,295.9375,224.36423198395505,5.0,720.0,1.9440050274133682,-0.013001732528209686,-0.0033208054665010422,2.1970532316117897e-05,0.0021968775554159145,0.03914062678813934,0.15159099571058357,0.0,0.6262500286102295
11,22528,1720.3661848336249,14,0.0,0.0,0.0,0.0,317.75,251.30397430203925,5.0,720.0,1.944380834698677,-0.010386026347987354,-0.001939385270816274,1.5940412822601502e-05,0.0016826056685203712,0.0,0.0,0.0,0.0
12,24576,1638.2222067955654,16,0.0,0.0,0.0,0.0,408.375,302.91374081576424,22.0,720.0,1.944649264216423,-0.007932717620860785,-0.0021518479770747945,1.245250768988626e-05,0.0017509378845702481,0.0,0.0,0.0,0.0
